runner,runner_id,runs,run_threat,run_value_added,in_behind,sep_gained,mean_run_distance,mean_run_fwd,final_third_runs,delta_v,delta_v_360,shots_5s,xg_added,retain_rate,loss_rate,value_lost,counter_runs,enc_receipt,enc_escaped,block_faced,second_def,crowded_runs,surrounded_runs,team,run_value_att,att_runs,position,pos_group,minutes,matches,RunThreat90,RunValue90,RunValueAll90,AttRuns90,InBehind90,Runs90,FinalThirdRuns90,SepGained,SepVsAvg,ThreatPerRun,Encirclement,EncEscaped,BlockFaced,SecondDef,CrowdedRuns90,SurroundedRuns90,PctSurrounded,DeltaV90,DeltaV360_90,Shot5s90,xGAdded90,ValueLost90,CounterRuns90,RetainRate,LossRate,NetValue90,RunThreat90_pct,RunValue90_pct,InBehind90_pct,Runs90_pct,FinalThirdRuns90_pct,SepGained_pct,SepVsAvg_pct,ThreatPerRun_pct,DeltaV90_pct,DeltaV360_90_pct,Shot5s90_pct,xGAdded90_pct,ValueLost90_pct,CounterRuns90_pct,RetainRate_pct,NetValue90_pct,RunValueAll90_pct,AttRuns90_pct,Encirclement_pct,EncEscaped_pct,BlockFaced_pct,SecondDef_pct,CrowdedRuns90_pct,SurroundedRuns90_pct,PctSurrounded_pct
Kylian Mbappé Lottin,3009.0,1180,1.7737843939504296,20.442583132791544,103,-1.6864602424446562,5.301847384786285,1.4153777836413508,693,6.318021229844536,-5.686860121835847,113.0,17.4258457145,0.7788135593220339,0.13474576271186442,11.662353378639658,21,0.4041947600356479,-0.019379897297552257,14.267780726240824,8.387600639031845,524,496,Paris Saint-Germain,31.174476465979893,696.0,Center Forward,FWD,4556,52,0.03503963903765116,0.6158259178968811,0.40382626908499536,13.748902546093065,2.0346795434591747,23.3099209833187,13.689640035118526,-1.6864602424446562,0.6799642880858605,0.0015032071135173133,0.4041947600356479,-0.019379897297552257,14.267780726240824,8.387600639031845,10.35118525021949,9.798068481123792,0.42033898305084744,0.12480726749034421,-0.11233920346032183,2.2322212467076383,0.34423312429872693,0.23038011503019515,0.41483757682177347,0.7788135593220339,0.13474576271186442,-0.10557284753985094,80.0,100.0,100.0,32.0,86.0,73.0,73.0,83.0,85.0,8.0,98.0,100.0,76.0,100.0,12.0,54.0,85.0,86.0,85.0,75.0,22.0,12.0,80.0,75.0,88.0
Victor Okoh Boniface,32289.0,236,1.2500057937496485,9.663274949882716,22,-1.8638378194338001,5.458854789480537,1.9037611231260296,134,2.6491509879166837,-3.0768453951370724,25.0,5.119908894,0.7203389830508474,0.2245762711864407,3.9492902252371813,7,0.5183809719632685,-0.05674302914624796,14.156660917604412,7.258586431211622,130,156,Bayer Leverkusen,10.506497957234023,134.0,Center Forward,FWD,1604,23,0.07013748219293539,0.5895167182986671,0.5422037066642421,7.5187032418952615,1.2344139650872816,13.241895261845386,7.5187032418952615,-1.8638378194338001,0.5025867110967166,0.0052966347192781715,0.5183809719632685,-0.05674302914624796,14.156660917604412,7.258586431211622,7.29426433915212,8.753117206982543,0.6610169491525424,0.14864313523223288,-0.17264095109871352,1.4027431421446384,0.2872766835785536,0.2215935911916124,0.3927680798004987,0.7203389830508474,0.2245762711864407,-0.07295045595937952,100.0,98.0,88.0,15.0,56.0,58.0,58.0,98.0,90.0,3.0,85.0,95.0,71.0,98.0,3.0,71.0,93.0,56.0,98.0,3.0,20.0,5.0,64.0,69.0,98.0
Florian Wirtz,40724.0,811,0.955162423224905,15.014163647059751,38,-1.7157569216263,4.610518354197189,0.5090900893159397,355,1.8127515207821225,-2.5913284332453346,50.0,5.6392900575,0.7916152897657214,0.11713933415536375,7.584955208002264,8,0.4369194960299923,-0.019060022021712558,14.120929940706594,8.166077143347069,401,391,Bayer Leverkusen,15.380737716701255,358.0,Left Attacking Midfield,MID,2457,32,0.03498763455036282,0.563396985959753,0.5499693643611631,13.113553113553113,1.3919413919413919,29.706959706959708,13.003663003663004,-1.7157569216263,0.6506676089042167,0.0011777588449135696,0.4369194960299923,-0.019060022021712558,14.120929940706594,8.166077143347069,14.68864468864469,14.322344322344323,0.48212083847102344,0.06640115460740376,-0.09492045543023205,1.8315018315018314,0.2065674013736264,0.27783718710631006,0.29304029304029305,0.7916152897657214,0.11713933415536375,-0.2114360324989063,76.0,97.0,92.0,58.0,80.0,68.0,68.0,73.0,61.0,10.0,93.0,86.0,93.0,92.0,15.0,17.0,95.0,80.0,93.0,76.0,17.0,10.0,97.0,93.0,93.0
Francisco António Machado Mota de Castro Trincão,22390.0,219,0.27341890055473206,4.794024215031359,14,-2.1590738211116682,5.70932116055917,0.782053830196494,128,2.153809744001893,2.0016988598941183,11.0,1.209343272,0.8447488584474886,0.0867579908675799,1.5590063507689238,0,0.299955860473719,-0.03561765655560945,14.317537438975624,10.071140681674672,60,51,Barcelona,4.507309057128206,129.0,Right Wing,MID,735,25,0.033479865374048824,0.5519153947503925,0.587023373269146,15.795918367346939,1.7142857142857144,26.816326530612248,15.673469387755102,-2.1590738211116682,0.20735070941884848,0.0012484881303869045,0.299955860473719,-0.03561765655560945,14.317537438975624,10.071140681674672,7.346938775510203,6.244897959183674,0.2328767123287671,0.2637318053879869,0.24510598284417776,1.346938775510204,0.14808284963265306,0.1908987368288478,0.0,0.8447488584474886,0.0867579908675799,0.0728330685591391,75.0,95.0,97.0,44.0,95.0,46.0,46.0,76.0,100.0,97.0,81.0,71.0,68.0,19.0,44.0,100.0,98.0,95.0,58.0,17.0,24.0,36.0,68.0,56.0,56.0
Martin Braithwaite Christensen,4447.0,144,0.5460201998395461,5.012386655716396,13,-1.3998252443154116,5.717551808249507,1.7771183703445161,94,-0.031506719000207226,-2.8573082877717244,14.0,3.132686153,0.8194444444444444,0.1388888888888889,1.475911161652876,1,0.45889993024479137,-0.03276846744158671,14.029152709645132,7.582071274088952,76,75,Barcelona,6.1055996265261046,95.0,Center Forward,FWD,1058,26,0.04644784308653983,0.5193799304228255,0.4263844981233229,8.081285444234405,1.10586011342155,12.24952741020794,7.9962192816635165,-1.3998252443154116,0.9665992862151052,0.0037918069433301813,0.45889993024479137,-0.03276846744158671,14.029152709645132,7.582071274088952,6.465028355387524,6.379962192816635,0.5208333333333334,-0.0026801556805469283,-0.2430602513227365,1.1909262759924386,0.26648558957466917,0.1255500988173524,0.08506616257088848,0.8194444444444444,0.1388888888888889,-0.12823025449789935,90.0,93.0,85.0,12.0,61.0,98.0,98.0,92.0,34.0,2.0,76.0,90.0,42.0,53.0,29.0,39.0,88.0,63.0,95.0,27.0,10.0,7.0,56.0,58.0,95.0
Jonas Hofmann,8804.0,637,0.2532385379995822,17.294459903478167,19,-1.901503166314123,4.4641925711628225,0.37232762946136644,271,2.8624676944370346,-0.8238510470731029,32.0,3.3712170044,0.8288854003139717,0.08320251177394035,4.238386341888484,6,0.4049148374442294,-0.021463943806183373,14.3411809236484,8.734797389456665,264,255,Bayer Leverkusen,12.55557144053813,272.0,Right Attacking Midfield,MID,2266,32,0.010058017837582698,0.49867671211316494,0.6868938178786562,10.803177405119152,0.7546337157987643,25.300088261253308,10.763459841129743,-1.901503166314123,0.46492136421639363,0.0003975487252740694,0.4049148374442294,-0.021463943806183373,14.3411809236484,8.734797389456665,10.485436893203884,10.127978817299205,0.4003139717425432,0.11369024382141797,-0.03272135667986728,1.2709620476610768,0.13389652709443955,0.16833838074579152,0.23830538393645193,0.8288854003139717,0.08320251177394035,-0.05464813692437355,59.0,92.0,64.0,39.0,78.0,56.0,56.0,63.0,78.0,15.0,78.0,69.0,61.0,85.0,36.0,81.0,100.0,78.0,86.0,66.0,27.0,19.0,81.0,80.0,85.0
Neymar da Silva Santos Junior,4320.0,1053,0.44706794582465903,7.122525602777796,49,-1.6017294981168322,4.581372061486229,0.11379673123159115,427,0.944229893469331,-0.3035082853357837,47.0,8.9043285,0.7663817663817664,0.14245014245014245,11.44715074176802,11,0.4017425037227958,-0.032439910938298976,14.675895361736828,8.389358403566218,457,414,Paris Saint-Germain,14.887505235677716,430.0,Left Wing,MID,2854,34,0.014098148256558975,0.4694728350423947,0.2246066237736516,13.55991590749825,1.5451997196916607,33.20602662929222,13.465311843027331,-1.6017294981168322,0.7646950324136845,0.0004245659504507683,0.4017425037227958,-0.032439910938298976,14.675895361736828,8.389358403566218,14.41135248773651,13.055360896986684,0.39316239316239315,0.029775995239046876,-0.009571039131121421,1.4821303433777155,0.2807952224947442,0.3609823289275129,0.34688156972669937,0.7663817663817664,0.14245014245014245,-0.331206333688466,64.0,90.0,93.0,71.0,83.0,81.0,81.0,64.0,53.0,22.0,86.0,93.0,98.0,95.0,10.0,3.0,78.0,83.0,83.0,31.0,44.0,14.0,95.0,88.0,83.0
Patrik Schick,7044.0,122,0.730416023130955,2.961861946207593,10,-1.5114847442876227,5.276280461699588,1.057878832840097,77,-2.092130852001284,-1.531280562683033,20.0,3.737011098,0.7459016393442623,0.1557377049180328,1.511776834096797,2,0.5858624642132965,-0.08421479878196671,13.738966753319328,5.873412801480869,85,94,Bayer Leverkusen,5.721338163198766,77.0,Center Forward,FWD,1121,20,0.0586417859783996,0.45934026287947277,0.23779444706394592,6.181980374665477,0.8028545941123997,9.794826048171275,6.181980374665477,-1.5114847442876227,0.854939786242894,0.0059870165830406144,0.5858624642132965,-0.08421479878196671,13.738966753319328,5.873412801480869,6.824264049955397,7.546833184656556,0.7704918032786885,-0.16796768660135197,-0.12293956346250934,1.6057091882247994,0.3000276528278323,0.12137369765273125,0.16057091882247992,0.7459016393442623,0.1557377049180328,-0.28934138425408323,97.0,88.0,69.0,8.0,44.0,95.0,95.0,100.0,2.0,7.0,92.0,97.0,34.0,75.0,5.0,7.0,80.0,42.0,100.0,2.0,3.0,2.0,59.0,63.0,100.0
Hugo Ekitike,50429.0,142,0.5530234405872729,3.7795527081859457,9,-1.53218208145064,4.980942426486166,1.0901075761885568,79,1.8745598554264435,-1.6837627418819747,17.0,1.95036658,0.6338028169014085,0.2535211267605634,2.7030764774541347,3,0.5158857942118564,-0.023603447950864165,14.73561911161345,7.030003566733103,90,87,Paris Saint-Germain,5.164819840794699,79.0,Center Forward,FWD,1024,23,0.04860557583286579,0.4539392438198466,0.33218724974290537,6.943359375,0.791015625,12.48046875,6.943359375,-1.53218208145064,0.8342424490798768,0.0038945312717413587,0.5158857942118564,-0.023603447950864165,14.73561911161345,7.030003566733103,7.91015625,7.646484375,0.6126760563380281,0.16475623729333977,-0.14798695973572043,1.494140625,0.1714189376953125,0.2375750810262423,0.263671875,0.6338028169014085,0.2535211267605634,-0.07281884373290254,92.0,86.0,68.0,14.0,53.0,93.0,93.0,95.0,95.0,5.0,88.0,76.0,85.0,86.0,2.0,73.0,83.0,53.0,97.0,61.0,51.0,3.0,71.0,64.0,97.0
Nathan Tella,41411.0,113,0.5224606971255878,4.693985801822108,11,-3.3293803966897366,6.253252594801071,1.9004310500166293,65,-0.20504293789013378,-0.061809464969831224,7.0,1.748613277,0.8495575221238938,0.11504424778761062,1.0272266324055739,0,0.19109211545032334,-0.029351539509342123,13.988748586210745,12.472173812245703,18,12,Bayer Leverkusen,3.4694762961489705,65.0,Right Wing Back,DEF,910,24,0.051671937078354845,0.3431350183004476,0.4642403540263623,6.428571428571428,1.087912087912088,11.175824175824175,6.428571428571428,-3.3293803966897366,-0.9629558661592199,0.004623545992261839,0.19109211545032334,-0.029351539509342123,13.988748586210745,12.472173812245703,1.7802197802197801,1.1868131868131868,0.10619469026548672,-0.020278971879244,-0.0061130240080052856,0.6923076923076923,0.17293977464835164,0.10159384276538642,0.0,0.8495575221238938,0.11504424778761062,-0.12187281464463043,95.0,85.0,81.0,10.0,49.0,19.0,19.0,97.0,20.0,24.0,59.0,78.0,24.0,19.0,47.0,42.0,92.0,49.0,44.0,39.0,7.0,58.0,34.0,36.0,44.0
